Date,GOFO_1M,GOFO_2M,GOFO_3M,GOFO_6M,GOFO_12M,LIBOR_1M,LIBOR_2M,LIBOR_3M,LIBOR_6M,LIBOR_12M,GLR_1M,GLR_2M,GLR_3M,GLR_6M,GLR_12M
2012-12-31,0.294,0.324,0.348,0.418,0.466,0.2087,0.2535,0.306,0.50825,0.8435,-0.0853,-0.0705,-0.042,0.09025,0.3775
2012-12-28,0.284,0.32,0.346,0.424,0.474,0.2097,0.2535,0.308,0.50825,0.8435,-0.0743,-0.0665,-0.038,0.08425,0.3695
2012-12-27,0.306,0.332,0.358,0.428,0.474,0.2117,0.255,0.311,0.51025,0.8435,-0.0943,-0.077,-0.047,0.08225,0.3695
2012-12-24,0.322,0.346,0.378,0.436,0.484,0.2097,0.254,0.31,0.51025,0.843,-0.1123,-0.092,-0.068,0.07425,0.359
2012-12-21,0.32333,0.36,0.38833,0.44667,0.48167,0.2097,0.254,0.31,0.51025,0.843,-0.11363,-0.106,-0.07833,0.06358,0.36133
2012-12-20,0.346,0.364,0.388,0.45,0.49,0.2107,0.254,0.31,0.51025,0.843,-0.1353,-0.11,-0.078,0.06025,0.353
2012-12-19,0.348,0.368,0.396,0.458,0.492,0.2107,0.2535,0.31,0.50975,0.843,-0.1373,-0.1145,-0.086,0.05175,0.351
2012-12-18,0.342,0.366,0.394,0.46,0.492,0.2107,0.253,0.309,0.5085,0.8425,-0.1313,-0.113,-0.085,0.0485,0.3505
2012-12-17,0.345,0.37,0.3925,0.4575,0.475,0.21,0.255,0.309,0.5085,0.8425,-0.135,-0.115,-0.0835,0.051,0.3675
2012-12-14,0.34,0.375,0.4,0.4625,0.4975,0.209,0.255,0.308,0.511,0.844,-0.131,-0.12,-0.092,0.0485,0.3465
2012-12-13,0.348,0.38,0.404,0.476,0.504,0.209,0.255,0.308,0.513,0.846,-0.139,-0.125,-0.096,0.037,0.342
2012-12-12,0.34167,0.37667,0.40167,0.46833,0.50333,0.209,0.255,0.3095,0.5145,0.8495,0.209,-0.12167,-0.09217,0.04617,0.34617
2012-12-11,0.335,0.37,0.3975,0.4675,0.5025,0.211,0.256,0.3095,0.517,0.852,-0.124,-0.114,-0.088,0.0495,0.3495
2012-12-10,0.34,0.386,0.412,0.478,0.506,0.212,0.256,0.3105,0.518,0.853,-0.128,-0.13,-0.1015,0.04,0.347
2012-12-07,0.352,0.39,0.418,0.476,0.512,0.212,0.256,0.3095,0.519,0.853,-0.14,-0.134,-0.1085,0.043,0.341
2012-12-06,0.344,0.38,0.408,0.464,0.506,0.213,0.258,0.3105,0.524,0.855,-0.131,-0.122,-0.0975,0.06,0.349
2012-12-05,0.38,0.405,0.42333,0.47167,0.508,0.213,0.258,0.3105,0.525,0.859,-0.167,-0.147,-0.11283,0.05333,0.351
2012-12-04,0.42167,0.44833,0.47,0.50167,0.52333,0.213,0.258,0.3105,0.525,0.859,-0.20867,-0.19033,-0.1595,0.02333,0.33567
2012-12-03,0.428,0.462,0.48,0.506,0.526,0.215,0.258,0.3105,0.526,0.86,-0.213,-0.204,-0.1695,0.02,0.334
2012-11-30,0.41,0.455,0.475,0.4975,0.515,0.2145,0.257,0.3105,0.526,0.86,-0.1955,-0.198,-0.1645,0.0285,0.345
2012-11-29,0.39167,0.445,0.46167,0.48833,0.50667,0.2135,0.257,0.3105,0.527,0.861,-0.17817,-0.188,-0.15117,0.03867,0.35433
2012-11-28,0.366,0.442,0.464,0.486,0.504,0.209,0.257,0.3105,0.528,0.86,-0.157,-0.185,-0.1535,0.042,0.356
2012-11-27,0.33,0.4,0.42,0.465,0.49333,0.209,0.257,0.3115,0.528,0.86,-0.121,-0.143,-0.1085,0.063,0.36667
2012-11-26,0.32167,0.39167,0.40333,0.455,0.485,0.209,0.257,0.3115,0.527,0.86,-0.11267,-0.13467,-0.09183,0.072,0.375
2012-11-23,0.31833,0.36833,0.38667,0.445,0.48167,0.2085,0.257,0.3115,0.527,0.859,-0.10983,-0.11133,-0.07517,0.082,0.37733
2012-11-22,0.31667,0.365,0.38667,0.44,0.48,0.2075,0.257,0.3115,0.527,0.86,-0.10917,-0.108,-0.07517,0.087,0.38
2012-11-21,0.31167,0.34,0.37167,0.43167,0.47667,0.2075,0.257,0.3115,0.527,0.861,-0.10417,-0.083,-0.06017,0.09533,0.38433
2012-11-20,0.30667,0.34667,0.37833,0.44333,0.47833,0.2075,0.257,0.3105,0.527,0.86,-0.09917,-0.08967,-0.06783,0.08367,0.38167
2012-11-19,0.30667,0.34833,0.385,0.445,0.495,0.2075,0.257,0.3115,0.528,0.86,-0.09917,-0.09133,-0.0735,0.083,0.365
2012-11-16,0.305,0.3425,0.3725,0.44,0.495,0.2075,0.257,0.3115,0.526,0.86,-0.0975,-0.0855,-0.061,0.086,0.365
2012-11-15,0.32,0.346,0.386,0.444,0.49,0.2075,0.257,0.311,0.523,0.8595,-0.1125,-0.089,-0.075,0.079,0.3695
2012-11-14,0.32333,0.35,0.38,0.44167,0.48667,0.2075,0.259,0.31,0.523,0.8605,-0.11583,-0.091,-0.07,0.08133,0.37383
2012-11-13,0.32,0.35,0.386,0.442,0.488,0.208,0.259,0.31,0.524,0.8615,-0.112,-0.091,-0.076,0.082,0.3735
2012-11-12,0.32167,0.35167,0.38167,0.44167,0.49,0.2085,0.2585,0.31,0.5265,0.862,-0.11317,-0.09317,-0.07167,0.08483,0.372
2012-11-09,0.32167,0.35333,0.38333,0.44167,0.49333,0.209,0.2595,0.31,0.5265,0.862,-0.11267,-0.09383,-0.07333,0.08483,0.36867
2012-11-08,0.32667,0.35,0.38167,0.44167,0.49333,0.209,0.2595,0.31,0.5265,0.862,-0.11767,-0.0905,-0.07167,0.08483,0.36867
2012-11-07,0.32833,0.35333,0.37667,0.44,0.49333,0.209,0.2595,0.31,0.5295,0.866,-0.11933,-0.09383,-0.06667,0.0895,0.37267
2012-11-06,0.33667,0.36833,0.40167,0.45,0.49667,0.209,0.2595,0.31175,0.5335,0.8715,-0.12767,-0.10883,-0.08992,0.0835,0.37483
2012-11-05,0.36167,0.395,0.41167,0.46,0.50167,0.208,0.2595,0.31175,0.53575,0.87375,-0.15367,-0.1355,-0.09992,0.07575,0.37208
2012-11-02,0.356,0.386,0.402,0.454,0.502,0.209,0.2605,0.31275,0.538,0.875,-0.147,-0.1255,-0.08925,0.084,0.373
2012-11-01,0.36,0.375,0.40667,0.45667,0.505,0.21,0.2605,0.31275,0.5394,0.8755,-0.15,-0.1145,-0.09392,0.08273,0.3705
2012-10-31,0.36167,0.38167,0.405,0.45667,0.51167,0.212,0.261,0.31275,0.5399,0.8755,-0.14967,-0.12067,-0.09225,0.08323,0.36383
2012-10-30,0.35,0.37,0.40167,0.45333,0.50833,0.212,0.261,0.31275,0.5399,0.8775,-0.138,-0.109,-0.08892,0.08657,0.36917
2012-10-29,0.348,0.37,0.398,0.444,0.5,0.212,0.2605,0.31275,0.5429,0.8775,-0.136,-0.1095,-0.08525,0.0989,0.3775
2012-10-26,0.34833,0.375,0.40167,0.45333,0.50167,0.212,0.261,0.31325,0.5449,0.8805,-0.13633,-0.114,-0.08842,0.09157,0.37883
2012-10-25,0.354,0.374,0.402,0.448,0.496,0.211,0.26,0.31325,0.5469,0.8805,-0.143,-0.114,-0.08875,0.0989,0.3845
2012-10-24,0.35667,0.38,0.40667,0.45333,0.50167,0.2105,0.2605,0.31425,0.5479,0.8815,-0.14617,-0.1195,-0.09242,0.09457,0.37983
2012-10-23,0.37333,0.38833,0.41667,0.45667,0.505,0.2107,0.2605,0.31525,0.5534,0.888,-0.16263,-0.12783,-0.10142,0.09673,0.383
2012-10-22,0.37,0.396,0.42,0.458,0.512,0.2107,0.261,0.31575,0.5559,0.8905,-0.1593,-0.135,-0.10425,0.0979,0.3785
2012-10-19,0.385,0.41333,0.42833,0.48167,0.52167,0.2107,0.2615,0.31725,0.5594,0.8965,-0.1743,-0.15183,-0.11108,0.07773,0.37483
2012-10-18,0.39833,0.425,0.44833,0.48833,0.525,0.2107,0.2635,0.31875,0.5659,0.901,-0.18763,-0.1615,-0.12958,0.07757,0.376
